datetime,checkouts
2018-11-25,13884
2018-11-26,17467
2018-11-27,17715
2018-11-28,18039
2018-11-29,17116
2018-11-30,13580
2018-12-01,21060
2018-12-02,13111
2018-12-03,18570
2018-12-04,16598
2018-12-05,16636
2018-12-06,16232
2018-12-07,12449
2018-12-08,18249
2018-12-09,11929
2018-12-10,17954
2018-12-11,14526
2018-12-12,17075
2018-12-13,14536
2018-12-14,12533
2018-12-15,18390
2018-12-16,10382
2018-12-17,17238
2018-12-18,14927
2018-12-19,16503
2018-12-20,15219
2018-12-21,14724
2018-12-22,19867
2018-12-23,13768
2018-12-24,0
2018-12-25,0
2018-12-26,20534
2018-12-27,17551
2018-12-28,13348
2018-12-29,18014
2018-12-30,12960
2018-12-31,17292
